time_s,liquid_volume_m3,gas_volume_m3,vapour_water_volume_m3,phaseChange_mDot_integ
306.0,2.398241247022327e-05,1.8017585829677568e-05,4.7668258773638553e-07,-7.293880288811848e-07
308.0,2.398369040908817e-05,1.80163078904872e-05,4.1987571500431965e-07,-5.679165965076356e-07
310.0,2.3984729704832992e-05,1.801526859608831e-05,4.904005093825954e-07,-6.890593570173695e-07
312.0,2.3985611449769385e-05,1.801438684929232e-05,4.506863924859831e-07,-5.548899672158875e-07
314.0,2.398673558833461e-05,1.8013262713092107e-05,4.280908330773145e-07,-6.889046859514305e-07
316.0,2.39878840738757e-05,1.801211422749877e-05,5.256433847323498e-07,-5.790063938883346e-07
318.0,2.3988842294341074e-05,1.801115599983976e-05,4.781065449376526e-07,-7.616072172784346e-07
320.0,2.3989913693446674e-05,1.8010084608134062e-05,4.630945428873231e-07,-7.557588441971573e-07
322.0,2.399091405875818e-05,1.800908424516918e-05,4.551505036181076e-07,-7.059750653771463e-07
324.0,2.399182906873775e-05,1.800816922985574e-05,4.963375574220526e-07,-6.731043009621168e-07
326.0,2.399271956542533e-05,1.800727873865963e-05,4.202577306469891e-07,-6.403182498975523e-07
328.0,2.399374725279095e-05,1.8006251049136327e-05,3.68954174772879e-07,-6.032460344851542e-07
330.0,2.3994731157241588e-05,1.800526714475449e-05,4.1915820241262447e-07,-5.124691783593389e-07
332.0,2.3995547123960866e-05,1.800445117549887e-05,4.850962308607851e-07,-6.057962097306465e-07
334.0,2.3996613750181996e-05,1.8003384557029846e-05,4.803287424534918e-07,-8.965097654733312e-07
336.0,2.399751025427745e-05,1.8002488049400984e-05,5.610762275819292e-07,-7.002192751325841e-07
338.0,2.399824430438794e-05,1.800175399977312e-05,4.829516910566648e-07,-7.957011123374459e-07
340.0,2.399885661658514e-05,1.8001141684347403e-05,4.871764990967112e-07,-7.342006061808916e-07
342.0,2.3999464735987342e-05,1.800053356543703e-05,4.5950768245189787e-07,-7.35056444304838e-07
344.0,2.400022841320072e-05,1.7999769890845098e-05,5.2837864331946e-07,-9.51959210794698e-07
346.0,2.4000998831442575e-05,1.7998999465240302e-05,5.197736677865371e-07,-8.147267196419905e-07
348.0,2.400173349139554e-05,1.7998264811668602e-05,5.193238358497057e-07,-8.74264603031714e-07
350.0,2.4002401517127453e-05,1.7997596785500677e-05,4.4552239735994876e-07,-8.141944522805575e-07
352.0,2.4003261195187763e-05,1.7996737100194803e-05,6.491597444601315e-07,-8.047880416883282e-07
354.0,2.4003899939892362e-05,1.7996098364678902e-05,6.43567789551483e-07,-9.003523211090581e-07
356.0,2.40045388438435e-05,1.7995459464562655e-05,4.46519201322162e-07,-6.297494480641744e-07
358.0,2.4005172050595038e-05,1.7994826246566755e-05,7.167920116405728e-07,-7.707025764152306e-07
360.0,2.4005860541685834e-05,1.79941377615039e-05,5.141334870633688e-07,-6.814325880397753e-07
